Data,Tasso di positivita ai tamponi molecolari Italia,Tasso di positivita ai tamponi molecolari Veneto,Ingressi in terapia intensiva Media Regionale,Ingressi in terapia intensiva Veneto,Ingressi nei reparti ordinari Media Regionale,Ingressi nei reparti ordinari Veneto,Deceduti Media Regionale,Deceduti Veneto
08-03-2020,19.718847622353348,5.931215389099388,24.285714285714285,34,138.95238095238096,95,15.80952380952381,16
15-03-2020,23.174408366905897,9.032956458984845,48.666666666666664,82,290.76190476190476,280,68.71428571428571,45
22-03-2020,25.76046980217673,11.74129353233831,63.666666666666664,126,484.9047619047619,687,174.61904761904762,106
29-03-2020,19.70627926472693,8.719316681486271,42.714285714285715,100,359.04761904761904,473,252.52380952380952,223
05-04-2020,13.165509137391496,6.21775137666392,3.380952380952381,-26,74.42857142857143,88,243.23809523809524,239
12-04-2020,8.601270032503797,4.95550302440381,-30.19047619047619,-80,-52.476190476190474,-246,191.04761904761904,225
19-04-2020,6.527827502973888,3.2394734547990587,-33.714285714285715,-65,-134.0,-164,179.0952380952381,231
26-04-2020,4.662717704017272,2.5361600951060037,-29.80952380952381,-60,-174.33333333333334,-167,142.0952380952381,228
03-05-2020,3.2924948183977802,1.3696414999757442,-24.19047619047619,-21,-196.66666666666666,-142,106.66666666666667,201
10-05-2020,2.0267384869219196,0.6588388780169602,-22.571428571428573,-66,-172.57142857142858,-547,79.80952380952381,141
17-05-2020,1.4497275924272517,0.32654400143142576,-12.619047619047619,-15,-157.47619047619048,-135,64.19047619047619,137
24-05-2020,1.0005610199705013,0.1904861996032632,-9.952380952380953,-11,-80.85714285714286,-88,41.76190476190476,75
31-05-2020,0.7321756573019524,0.07581065714055985,-5.619047619047619,-5,-106.0,-73,30.0,49
07-06-2020,0.5531084752205168,0.04076962531399187,-7.0476190476190474,-5,-72.52380952380952,-31,23.047619047619047,36
14-06-2020,0.5182426083402961,0.05394470667565745,-3.7142857142857144,0,-60.476190476190474,-41,21.238095238095237,24
21-06-2020,0.41523214501776423,0.040388349514563104,-2.9047619047619047,0,-60.95238095238095,-12,13.761904761904763,24
28-06-2020,0.5483741055991086,0.0447127207690588,-2.380952380952381,0,-54.95238095238095,-12,4.9523809523809526,6
05-07-2020,0.4019538479125279,0.07748051592908253,-1.1428571428571428,1,-10.238095238095237,0,5.857142857142857,15
12-07-2020,0.4824921886178429,0.1240761719803636,-0.2857142857142857,1,-8.047619047619047,4,4.428571428571429,16
19-07-2020,0.45883210020117765,0.4090768755788824,-0.9047619047619048,-1,-1.5714285714285714,13,4.333333333333333,11
26-07-2020,0.5221333052216431,0.33416046319272125,-0.23809523809523808,-1,-0.38095238095238093,-2,2.9523809523809526,14
02-08-2020,0.5480175073625815,0.5548118194239342,-0.09523809523809523,3,-1.2857142857142858,-4,2.238095238095238,11
09-08-2020,0.7493717706610143,0.6942061090137593,0.14285714285714285,2,2.619047619047619,1,2.4285714285714284,8
16-08-2020,1.0888472005019947,0.9626411815812337,0.5238095238095238,-2,1.1428571428571428,7,9.095238095238095,13
23-08-2020,1.2060770290080405,0.9101237523974737,0.6190476190476191,0,8.761904761904763,8,1.9523809523809523,8
30-08-2020,1.5332536149741491,0.9685255822873825,0.8095238095238095,3,13.333333333333334,9,1.9047619047619047,16
06-09-2020,1.4877171694190066,1.2077834936255871,2.238095238095238,5,20.571428571428573,27,3.0476190476190474,10
13-09-2020,1.6897076283144168,1.1602951039570757,2.5714285714285716,2,17.095238095238095,16,3.2857142857142856,12
20-09-2020,1.6923812746463291,1.2163108155407771,1.6666666666666667,-4,15.380952380952381,29,4.619047619047619,20
27-09-2020,1.7904470768055025,1.4121078466244577,1.5238095238095237,11,22.904761904761905,24,6.095238095238095,14
04-10-2020,2.21780354383745,1.6829937104353765,2.3333333333333335,-1,21.0,30,7.190476190476191,18
11-10-2020,3.794606255636632,3.2109477816689345,5.571428571428571,4,58.666666666666664,60,8.571428571428571,24
18-10-2020,6.075713031154796,5.281313769312992,15.714285714285714,20,124.38095238095238,140,17.952380952380953,38
25-10-2020,10.017872860196512,9.182193944902508,21.80952380952381,27,232.14285714285714,207,37.857142857142854,73
01-11-2020,13.969918929368392,14.29653129882204,34.80952380952381,61,328.3809523809524,247,70.85714285714286,89
08-11-2020,16.048464772763623,18.915675175066387,38.57142857142857,53,358.95238095238096,523,122.28571428571429,156
15-11-2020,16.18869262133456,18.948854667274706,32.04761904761905,56,267.0,579,182.61904761904762,271
22-11-2020,15.252319244598361,19.876217994877358,18.047619047619047,40,106.28571428571429,277,218.76190476190476,376
29-11-2020,12.363963789595925,18.96945941531929,-2.2857142857142856,30,-66.66666666666667,231,241.95238095238096,456
06-12-2020,10.960354331399317,21.044654308033113,-14.238095238095237,-3,-118.47619047619048,66,246.38095238095238,533
13-12-2020,10.534630140303946,22.630410951578835,-14.095238095238095,32,-126.47619047619048,98,211.52380952380952,591
20-12-2020,11.985233178490452,21.78457457830826,-19.761904761904763,-1,-122.71428571428571,21,203.76190476190476,633
27-12-2020,10.306408204036588,20.769547217043474,-7.761904761904762,21,-75.57142857142857,-1,148.85714285714286,604
03-01-2021,12.242342712880422,21.210110393919287,0.14285714285714285,5,-23.61904761904762,62,162.23809523809524,725
10-01-2021,12.542041665544174,17.623146006259354,1.5238095238095237,-10,16.761904761904763,-103,163.0,626
17-01-2021,10.064813978777446,11.113036341252108,-5.333333333333333,-17,-31.904761904761905,-292,162.95238095238096,589
24-01-2021,8.118992567033517,8.087767534637987,-4.904761904761905,-52,-68.95238095238095,-497,156.38095238095238,581
31-01-2021,8.228325960905895,6.265150327427972,-8.80952380952381,-69,-57.76190476190476,-366,145.47619047619048,372
07-02-2021,8.182942514026337,5.813871445706625,-5.142857142857143,-64,-39.523809523809526,-320,131.28571428571428,350
14-02-2021,8.004342207288705,6.003063672360473,-1.0476190476190477,-40,-38.904761904761905,-183,109.71428571428571,217
21-02-2021,7.909049210405609,6.317202460038079,0.42857142857142855,-11,-30.714285714285715,-163,101.95238095238095,214
28-02-2021,9.601749484553148,6.97463657183447,6.523809523809524,10,39.714285714285715,17,94.33333333333333,135
07-03-2021,10.859964067479883,8.682767162066526,17.80952380952381,20,119.33333333333333,136,99.33333333333333,121
14-03-2021,11.040933726347818,9.417181317258978,22.714285714285715,49,160.66666666666666,190,112.38095238095238,138
21-03-2021,10.847980453300108,9.058402860548272,17.428571428571427,34,141.23809523809524,302,133.1904761904762,242
28-03-2021,11.29844724775156,8.458915244497206,11.0,52,57.95238095238095,167,142.42857142857142,180
04-04-2021,10.457770894490556,7.864505893395576,1.1428571428571428,15,-12.80952380952381,104,147.47619047619048,210
11-04-2021,8.845237301075509,5.843025213317557,-5.619047619047619,7,-56.23809523809524,-138,153.52380952380952,203
18-04-2021,8.353955828022455,5.554501290420525,-13.047619047619047,-53,-171.57142857142858,-331,127.28571428571429,163
25-04-2021,7.831432612270897,5.716381078857913,-21.38095238095238,-51,-142.1904761904762,-161,110.04761904761905,131
02-05-2021,7.021013238874718,5.0190822307482055,-16.095238095238095,-36,-110.33333333333333,-153,92.33333333333333,130
09-05-2021,5.7634305137158295,3.8334231390962974,-15.80952380952381,-23,-139.28571428571428,-196,78.85714285714286,58
16-05-2021,4.597619456168691,2.709449717003465,-19.666666666666668,-31,-156.47619047619048,-129,63.0,62
23-05-2021,3.5424740258196428,2.030300517643714,-17.571428571428573,-27,-141.57142857142858,-128,50.904761904761905,43
30-05-2021,2.798601323524455,1.584171261758028,-16.61904761904762,-19,-122.38095238095238,-156,39.095238095238095,31
06-06-2021,2.409417329941103,1.0755131409528138,-13.666666666666666,-5,-77.52380952380952,-91,22.714285714285715,21
13-06-2021,1.8259471502942437,0.8793348581319157,-9.952380952380953,-16,-67.66666666666667,-63,22.80952380952381,20
20-06-2021,1.3037404935589012,0.568067487036607,-8.380952380952381,-8,-52.285714285714285,-46,12.761904761904763,3
